=== BẮT ĐẦU QUÉT BẢO MẬT SEOSONA VIDEO ===
Quét tất cả các file mã nguồn và cấu hình...
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: vietnamese_lines.txt
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: vietnamese_lines.txt
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: vietnamese_lines.txt
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: vietnamese_lines.txt
[CẢNH BÁO] Zero-width characters (ASCII Smuggling) trong file: vietnamese_lines.txt
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: .agents\skills\embedded-captions\modes\standard\_anatomy.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: .agents\skills\graphic-overlays\assets\vendor\gsap.min.js
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: .agents\skills\hyperframes-animation\rules\hacker-flip-3d.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: .agents\skills\hyperframes-core\references\subagent-dispatch.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: .agents\skills\hyperframes-creative\templates\design-picker.html
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 1_AGENTS\writer_agent\writer.py
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\addyosmani_agent-skills.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\code-yeongyu_oh-my-openagent.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\fainir_most-capable-agent-system-prompt.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\gsd-build_gsd-2.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 2_KNOWLEDGE\repos\hyperframes-claude-design.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 2_KNOWLEDGE\repos\hyperframes-guides.md
[CẢNH BÁO] Zero-width characters (ASCII Smuggling) trong file: 2_KNOWLEDGE\repos\hyperframes-guides.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\hyperframes-main.md
[CẢNH BÁO] Phát hiện pattern 'rm\s+-rf\s+/' trong file: 2_KNOWLEDGE\repos\hyperframes-main.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 2_KNOWLEDGE\repos\hyperframes-main.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 2_KNOWLEDGE\repos\hyperframes-main.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 2_KNOWLEDGE\repos\hyperframes-main.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 2_KNOWLEDGE\repos\hyperframes-open-design.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\hyperframes.md
[CẢNH BÁO] Phát hiện pattern 'rm\s+-rf\s+/' trong file: 2_KNOWLEDGE\repos\hyperframes.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 2_KNOWLEDGE\repos\hyperframes.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 2_KNOWLEDGE\repos\hyperframes.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 2_KNOWLEDGE\repos\hyperframes.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\langfuse.md
